,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Platform_type
0,180,Madden NFL 2004,PS2,2003,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,Console
1,378,FIFA Soccer 2004,PS2,2004,Sports,Electronic Arts,0.59,2.36,0.04,0.51,3.49,Console
2,432,LEGO Batman: The Videogame,Wii,2008,Action,Warner Bros. Interactive Entertainment,1.86,1.02,0,0.29,3.17,Console
3,471,wwe Smackdown vs. Raw 2006,PS2,2006,Fighting,Yuke's,1.57,1.02,0,0.41,3,Console
4,608,Space Invaders,2600,1980,Shooter,Atari,2.36,0.14,0,0.03,2.53,Console
5,625,Rock Band,X360,2007,"	Rhythm game",Electronic Arts,1.93,0.34,0,0.21,2.48,Console
6,650,Frogger's Adventures: Temple of the Frog,GBA,2001,Adventure,Konami Digital Entertainment,2.15,0.18,0,0.07,2.39,Hand_Held
7,653,LEGO Indiana Jones: The Original Adventures,Wii,2008,Action,LucasArts,1.54,0.63,0,0.22,2.39,Console
8,713,Call of Duty 3,Wii,2006,Shooter,Activision,1.19,0.84,0,0.23,2.26,Console
9,784,Rock Band,Wii,2008,Misc,MTV Games,1.35,0.56,0,0.2,2.11,Console
10,1128,Call of Duty: Black Ops,PC,2010,Shooter,Activision,0.58,0.81,0,0.24,1.63,Computer
11,1135,Rock Band,PS3,2007,Misc,Electronic Arts,0.99,0.41,0,0.22,1.62,Console
12,1305,Triple Play 99,PS,1998,Sports,"	EA Sports",0.81,0.55,0,0.1,1.46,Console
13,1435,LEGO Harry Potter: Years 5-7,Wii,2011,Action,Warner Bros. Interactive Entertainment,0.76,0.47,0,0.13,1.36,Console
14,1500,LEGO Batman: The Videogame,PSP,2008,Action,Warner Bros. Interactive Entertainment,0.57,0.46,0,0.28,1.32,Hand_Held
15,1515,Adventure,2600,1980,Adventure,Atari,1.21,0.08,0,0.01,1.3,Console
16,1587,Combat,2600,1977,Action,Atari,1.17,0.07,0,0.01,1.25,Console
17,1651,NASCAR Thunder 2003,PS2,2003,Racing,Unknown,0.6,0.46,0,0.16,1.22,Console
18,1699,Hitman 2: Silent Assassin,XB,2002,Action,Eidos Interactive,0.76,0.38,0,0.05,1.19,Console
19,1839,Rock Band,PS2,2007,Misc,Electronic Arts,0.71,0.06,0,0.35,1.11,Console
20,1992,Legacy of Kain: Soul Reaver,PS,1999,Action,Eidos Interactive,0.58,0.4,0,0.07,1.04,Console
21,2021,Donkey Kong Land III,GB,1997,Platform,Nintendo,0.68,0.31,0,0.04,1.03,Hand_Held
22,2088,LEGO Harry Potter: Years 5-7,X360,2011,Action,Warner Bros. Interactive Entertainment,0.51,0.39,0,0.09,0.99,Console
23,2115,Air-Sea Battle,2600,1977,Shooter,Atari,0.91,0.06,0,0.01,0.98,Console
24,2116,Suikoden III,PS2,2002,Role-Playing,Unknown,0.29,0.23,0.38,0.08,0.98,Console
25,2136,Yakuza 4,PS3,2009,Action,Sega,0.15,0.14,0.63,0.05,0.97,Console
26,2147,LEGO Harry Potter: Years 5-7,PS3,2007,Action,Warner Bros. Interactive Entertainment,0.36,0.45,0,0.16,0.97,Console
27,2175,Wheel of Fortune,PS2,2003,Game show,Unknown,0.47,0.36,0,0.12,0.95,Console
28,2288,Namco Museum,XB,2002,Misc,Unknown,0.77,0.11,0,0.04,0.91,Console
29,2297,Rhythm Heaven,Wii,2009,Rhythm game,Unknown,0.13,0,0.77,0.01,0.9,Console
30,2417,The Lord of the Rings: War in the North,PS3,2011,Action,Warner Bros. Interactive Entertainment,0.25,0.45,0.01,0.15,0.86,Console
31,2424,The Lord of the Rings: War in the North,X360,2011,Action,Warner Bros. Interactive Entertainment,0.52,0.26,0,0.08,0.86,Console
32,2486,Madden NFL 07,PSP,2007,Sports,Unknown,0.77,0.03,0,0.04,0.83,Hand_Held
33,2499,MLB SlugFest 2003,PS2,2003,Sports,Unknown,0.41,0.32,0,0.11,0.83,Console
34,2530,Shaun White Snowboarding,X360,2008,Sports,Ubisoft,0.48,0.26,0,0.08,0.82,Console
35,2588,PES 2009: Pro Evolution Soccer,PSP,2008,Sports,Konami Digital Entertainment,0.04,0.33,0.26,0.17,0.8,Hand_Held
36,2778,Madden NFL 11,Wii,2011,Sports,Unknown,0.7,0,0,0.05,0.74,Console
37,2788,WarioWare: Twisted!,GBA,2004,Puzzle,Unknown,0.16,0.06,0.5,0.02,0.74,Hand_Held
38,2840,LEGO Harry Potter: Years 5-7,DS,2011,Action,Warner Bros. Interactive Entertainment,0.35,0.3,0,0.07,0.72,Hand_Held
39,2949,Test Drive Unlimited 2,X360,2011,Racing,Atari,0.3,0.32,0,0.07,0.69,Console
40,3051,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,N/A,Action,Disney Interactive Studios,0.48,0.18,0,0.01,0.67,Hand_Held
41,3143,Test Drive Unlimited 2,PS3,2011,Racing,Atari,0.16,0.35,0.01,0.12,0.64,Console
42,3196,Monster Hunter 2,PS2,2006,Role-Playing,Capcom,0,0,0.63,0,0.63,Console
43,3219,Advance Wars: Days of Ruin,DS,2008,Strategy,Nintendo,0.44,0.13,0,0.06,0.63,Hand_Held
44,3240,Metal Gear Solid 2: Substance,XB,2002,Action,Konami Digital Entertainment,0.38,0.22,0,0.03,0.62,Console
45,3348,The Golden Compass,Wii,2007,Action,Sega,0.26,0.28,0,0.07,0.6,Console
46,3423,Madden NFL 06,X360,2006,Sports,Electronic Arts,0.54,0,0.01,0.03,0.59,Console
47,3470,NASCAR: Dirt to Daytona,PS2,2002,Racing,Unknown,0.28,0.22,0,0.07,0.58,Console
48,3503,Madden NFL 2002,XB,2002,Sports,Unknown,0.53,0.02,0,0.03,0.58,Console
49,3717,Def Jam: Fight for NY,XB,2004,Fighting,Electronic Arts,0.43,0.1,0,0.02,0.54,Console
50,3755,NBA Street Vol. 2,GC,2003,Sports,Electronic Arts,0.41,0.11,0,0.01,0.54,Console
51,3882,Fishing Derby,2600,1980,Sports,Activision,0.48,0.03,0,0.01,0.51,Console
52,3954,Wet,X360,2009,Shooter,Bethesda Softworks,0.23,0.21,0.01,0.05,0.5,Console
53,4147,Sonic the Hedgehog,PS3,2006,Platform,Sega,0,0.48,0,0,0.48,Console
54,4153,Karate,2600,1982,Fighting,Ultravision,0.44,0.03,0,0,0.47,Console
55,4201,Tiger Woods PGA Tour 07,Wii,2007,Sports,Electronic Arts,0.43,0,0,0.04,0.47,Console
56,4234,Circus Atari,2600,1981,Action,Atari,0.43,0.03,0,0,0.46,Console
57,4332,The Chronicles of Riddick: Escape from Butcher Bay,XB,2004,Shooter,Vivendi Games,0.32,0.11,0,0.02,0.45,Console
58,4380,Maze Craze: A Game of Cops 'n Robbers,2600,1980,Action,Atari,0.42,0.02,0,0,0.45,Console
59,4382,Silent Hill: Homecoming,X360,2008,Action,Konami Digital Entertainment,0.25,0.16,0,0.04,0.45,Console
60,4471,Super Breakout,2600,1981,Puzzle,Atari,0.41,0.03,0,0,0.44,Console
61,4474,Robert Ludlum's The Bourne Conspiracy,X360,2008,Action,Vivendi Games,0.26,0.14,0,0.04,0.44,Console
62,4538,NHL Slapshot,Wii,2010,Sports,Unknown,0.4,0,0,0.02,0.43,Console
63,4685,TERA,PC,2012,Role-Playing,Unknown,0.24,0.12,0,0.05,0.41,Computer
64,4793,LEGO Harry Potter: Years 5-7,3DS,2011,Action,Warner Bros. Interactive Entertainment,0.18,0.19,0,0.04,0.4,Hand_Held
65,4799,NFL GameDay 2003,PS2,2003,Sports,Unknown,0.2,0.15,0,0.05,0.4,Console
66,4860,Silent Hill: Homecoming,PS3,2008,Action,Konami Digital Entertainment,0.18,0.15,0,0.06,0.4,Console
67,4867,Harvest Moon: Save the Homeland,PS2,2001,Simulation,Unknown,0.19,0.15,0,0.05,0.4,Console
68,4936,Robert Ludlum's The Bourne Conspiracy,PS3,2008,Action,Vivendi Games,0.18,0.14,0,0.06,0.39,Console
69,5063,Hangman,2600,1978,Puzzle,Atari,0.35,0.02,0,0,0.38,Console
70,5080,The Golden Compass,PSP,2007,Action,Sega,0.11,0.16,0,0.1,0.38,Hand_Held
71,5164,NBA Live 2003,XB,2003,Sports,Electronic Arts,0.31,0.04,0,0.01,0.36,Console
72,5173,Bejeweled 3,DS,2011,Puzzle,Unknown,0.32,0.02,0,0.03,0.36,Hand_Held
73,5197,Cubix Robots for Everyone: Clash 'n' Bash,GBA,2002,Action,Unknown,0.26,0.1,0,0.01,0.36,Hand_Held
74,5198,Tropico 4,X360,2010,Strategy,Kalypso Media,0.2,0.13,0,0.03,0.36,Console
75,5242,Tomb Raider (2013),PC,2013,Action,Square Enix,0.06,0.25,0,0.05,0.36,Computer
76,5304,Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Wii,2006,Action,Bandai Namco Entertainment,0.15,0.05,0.14,0.01,0.35,Console
77,5510,Custom Robo,N64,1999,Role-Playing,Nintendo,0,0,0.29,0.04,0.33,Console
78,5620,Final Fantasy XI,PS2,2002,Role-Playing,Unknown,0.08,0.06,0.15,0.02,0.32,Console
79,5627,Singularity,X360,2010,Shooter,Unknown,0.24,0.05,0,0.02,0.32,Console
80,5659,Dragster,2600,1980,Racing,Activision,0.3,0.02,0,0,0.32,Console
81,5671,All-Star Baseball 2005,PS2,2005,Sports,Unknown,0.16,0.12,0,0.04,0.32,Console
82,5771,Star Wars Jedi Knight II: Jedi Outcast,XB,2002,Shooter,Activision,0.23,0.07,0,0.01,0.31,Console
83,5800,Slot Machine,2600,1979,Action,Atari,0.29,0.02,0,0,0.31,Console
84,5840,Shrek the Third,DS,2007,Action,Activision,0.26,0.02,0,0.02,0.3,Hand_Held
